Регионы ,Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"
Мурманская область,0.64673036809,28.8356727969,0.936696331247,2.8692967035
Краснодарский край,1.21027366482,39.4044346915,2.08184941776,2.31744294246
Астраханская область,0.817587398531,15.9465995655,0.674900171016,0.888410255983
Чувашская Республика,0.135145636316,53.710254513,2.91999040466,2.77217486494
Алтайский край,1.28208279834,65.8131109039,1.51609127371,3.73231699592
Кемеровская область,8.51478718094,30.6708334664,3.58416937994,3.29291911419
Новосибирская область,1.08006896981,108.224843304,3.36116890804,5.10330798857
Томская область,3.9676881515,49.7453417212,1.55798775283,5.59601824338
Амурская область,10.4113135497,16.2350732986,5.07168052814,3.85100805799
Магаданская область,93.6976510442,29.2000148904,8.65874995347,5.33075233593
,,,,
,,,,
,,,,
,,,,

